EmployeeID,Department,Skill,Level
1,Sales,Excel,2
2,Development,Presentation,3
3,Development,Presentation,4
4,Support,Presentation,3
5,Sales,Excel,3
6,Analytics,SQL,2
7,Sales,Presentation,2
8,Design,Excel,1
9,Sales,Communication,3
10,Development,Presentation,1
11,Design,SQL,1
12,Support,SQL,2
13,Analytics,Leadership,1
14,Design,SQL,1
15,Development,Python,2
16,Sales,Presentation,3
17,Support,Presentation,5
18,Design,SQL,4
19,Analytics,Python,1
20,Development,Python,3
21,Support,Communication,4
22,Support,Excel,4
23,Development,SQL,4
24,Development,Excel,4
25,Development,Leadership,3
26,Analytics,Excel,5
27,Development,Leadership,4
28,Design,Leadership,1
29,Analytics,SQL,5
30,Sales,Presentation,4
31,Development,Presentation,5
32,Analytics,Communication,2
33,Sales,Excel,4
34,Design,Communication,3
35,Analytics,SQL,4
36,Development,Python,1
37,Sales,SQL,4
38,Development,SQL,3
39,Sales,Python,3
40,Analytics,Presentation,3
41,Sales,Communication,4
42,Sales,SQL,2
43,Development,SQL,1
44,Development,Excel,1
45,Design,Excel,1
46,Analytics,Presentation,3
47,Support,Presentation,4
48,Design,Communication,5
49,Design,Leadership,3
50,Analytics,Presentation,1
51,Analytics,Leadership,5
52,Sales,Leadership,5
53,Analytics,Presentation,1
54,Support,Leadership,4
55,Analytics,SQL,2
56,Analytics,Communication,4
57,Design,Leadership,5
58,Design,Python,4
59,Analytics,Excel,5
60,Sales,Leadership,1
61,Development,Python,1
62,Sales,Presentation,5
63,Development,Communication,3
64,Sales,Leadership,5
65,Support,SQL,4
66,Analytics,Python,1
67,Analytics,SQL,5
68,Support,Presentation,1
69,Support,Python,1
70,Development,Communication,5
71,Development,SQL,3
72,Sales,Leadership,1
73,Sales,SQL,3
74,Design,SQL,4
75,Design,Leadership,3
76,Design,Communication,5
77,Sales,Presentation,5
78,Design,Python,3
79,Development,SQL,2
80,Analytics,Communication,1
81,Design,Python,4
82,Design,SQL,3
83,Sales,Leadership,3
84,Analytics,SQL,4
85,Analytics,Communication,1
86,Analytics,Python,5
87,Support,SQL,5
88,Analytics,SQL,1
89,Sales,Python,4
90,Analytics,Presentation,3
91,Development,Leadership,5
92,Analytics,Python,1
93,Support,Leadership,1
94,Design,SQL,5
95,Analytics,Leadership,4
96,Sales,Presentation,1
97,Development,Communication,4
98,Support,Communication,5
99,Sales,Python,5
100,Design,Excel,4
101,Support,Python,4
102,Support,SQL,4
103,Development,Leadership,4
104,Design,Leadership,3
105,Sales,Excel,1
106,Analytics,Excel,5
107,Analytics,Leadership,3
108,Analytics,Python,1
109,Sales,Communication,1
110,Design,Excel,3
111,Development,Leadership,5
112,Design,SQL,1
113,Development,Leadership,5
114,Support,Presentation,4
115,Analytics,Communication,2
116,Support,Leadership,3
117,Development,SQL,1
118,Sales,Communication,3
119,Analytics,Communication,1
120,Analytics,Leadership,1
121,Development,Leadership,4
122,Support,SQL,5
123,Sales,SQL,3
124,Development,Presentation,1
125,Sales,SQL,2
126,Sales,Presentation,1
127,Support,Python,1
128,Development,SQL,2
129,Development,Communication,2
130,Support,Communication,3
131,Development,Communication,1
132,Support,Python,2
133,Design,Leadership,5
134,Analytics,Python,3
135,Development,Python,4
